appic_numbers,program,degree
"[1149, 1341, 1747]",Clinical,PhD
"[1149, 1341, 1747]",Clinical,PhD
"[1149, 1341, 1747]",Clinical,PhD
"[1149, 1326, 1341]",Clinical,PhD
"[1149, 1326, 1341]",Clinical,PhD
"[1138, 1389]",Counseling,PhD
"[1247, 1250]",Clinical,PhD
"[1149, 1326, 1341]",Clinical,PhD
"[1149, 1326, 1341]",Clinical,PhD
"[1149, 1341]",Clinical,PhD
"[1204, 1756]",Clinical,PhD
"[1108, 1110, 2560]",Clinical,PhD
"[1108, 1110, 2560]",Clinical,PhD
"[1108, 1110, 2560]",Clinical,PhD
"[1173, 1265]",Clinical,PhD
"[1125, 1359]",Clinical,PhD
"[1230, 1331, 1440]",Clinical,PhD
"[1230, 1331, 1440]",Clinical,PhD
"[1171, 1187]",Clinical,PhD
"[1171, 1187]",Clinical,PhD
"[1344, 1982]",Clinical,PhD
"[1187, 1197]",Clinical,PhD
"[1257, 1328, 1443, 1503, 1509]",School,PhD
"[1257, 1328, 1443, 1503, 1509]",School,PhD
"[1257, 1323, 1443, 1503, 1509]",School,PhD
"[1257, 1509]",School,PhD
"[1328, 1413, 1771]",Clinical,PhD
"[1328, 1413, 1771]",Clinical,PhD
"[1328, 1413, 1771]",Clinical,PhD
"[1362, 2629]",Clinical,PhD
"[1362, 2629]",Clinical,PhD
"[1362, 2629]",Clinical,PhD
"[1362, 2629]",Clinical,PhD
"[1156, 1161, 1173]",Clinical,PsyD
"[1362, 2629]",Clinical,PhD
"[1362, 2629]",Clinical,PhD
"[1326, 1339, 1341]",Clinical,PhD
"[1326, 1341]",Clinical,PhD
"[1326, 1341]",Clinical,PhD
"[1230, 1235]",Clinical,PhD
"[1230, 1235]",Clinical,PhD
"[1131, 1134, 1135, 1136, 1137, 1146, 1162, 1165, 1166, 1187, 1329, 1330, 1476]",Clinical,PhD
"[1416, 1509]",Clinical,PsyD
"[1306, 1509]",Clinical,PsyD
"[1306, 1509]",Clinical,PsyD
"[1306, 1509]",Clinical,PsyD
"[1219, 1409]",Clinical,PsyD
"[1137, 1306, 1344, 1771, 2463, 2629]",Clinical,PsyD
"[1137, 1306, 1344, 1771, 2463, 2629]",Clinical,PsyD
"[1137, 1306, 1344, 1771, 2463, 2629]",Clinical,PsyD
"[1137, 1306, 1344, 1771, 2463, 2629]",Clinical,PsyD
"[1257, 1381]",Clinical,PhD
"[1173, 1257, 1381]",Clinical,PhD
"[1619, 2294]",School,PhD
"[1193, 1219, 1220, 1233, 1235, 1334, 1347, 1414, 1415, 1422, 1446, 1451, 1531, 1536, 1669, 2012, 2164, 2221, 2259, 2423, 2461, 2517, 2534]",Clinical,PsyD
"[1193, 1219, 1220, 1233, 1235, 1334, 1347, 1414, 1415, 1422, 1446, 1451, 1531, 1536, 1669, 2012, 2164, 2221, 2259, 2423, 2461, 2517, 2534]",Clinical,PsyD
"[1274, 1275]",Clinical,PsyD
"[1183, 1197, 1230]",Counseling,PhD
"[1183, 1230]",Counseling,PhD
"[1183, 1230]",Counseling,PhD
"[1413, 1459, 2013, 2508]",Clinical,PhD
"[1413, 1459, 2013, 2508]",Clinical,PhD
"[1413, 1459, 2013, 2508]",Clinical,PhD
"[1413, 1443, 1459, 1460, 1551, 2013, 2508]",Clinical,PhD
"[1409, 1413, 1443, 1450, 1459, 1460, 1464, 1465, 1476, 1479, 1551, 2013, 2508]",Clinical,PhD
"[1360, 1369]",Counseling,PhD
"[1624, 2454]",Clinical,PhD
"[1451, 1476, 1678, 2095]",Clinical,PsyD
"[1183, 1329, 1334, 2463]",Clinical,PhD
"[1440, 1663, 1741]",Counseling,PhD
"[1440, 1543, 1663, 1727, 1741]",Counseling,PhD
"[1440, 1543, 1663, 1741, 2266]",Counseling,PhD
"[1494, 1496]",Counseling,PhD
"[1440, 1663]",Counseling,PhD
"[1147, 1536]",Counseling,PhD
"[1147, 1536]",Counseling,PhD
"[1147, 1536]",Counseling,PhD
"[1440, 1663]",Counseling,PhD
"[1147, 1536]",Counseling,PhD
"[1147, 1536]",Counseling,PhD
"[1147, 1536]",Counseling,PhD
"[1440, 1663]",Counseling,PhD
"[1440, 1663]",Counseling,PhD
"[1440, 1663]",Counseling,PhD
"[1440, 1663]",Counseling,PhD
"[1440, 1663]",Counseling,PhD
"[1440, 1663]",Counseling,PhD
"[1440, 1663]",Counseling,PhD
"[1147, 1536, 1809]",Counseling,PhD
"[1325, 1383]",Clinical,PhD
"[1110, 1111]",Counseling,PhD
"[1383, 2206]",Counseling,PsyD
"[1166, 2143]",Clinical,PsyD
"[2592, 2605]",Clinical,PsyD
"[1137, 1146, 1187, 1197, 1306, 1538]",School,PhD
"[1125, 1134, 1183, 1186, 1219, 1230, 1262, 1264, 1265, 1323]",Clinical,PhD
"[1134, 1191, 1910]",Clinical,PsyD
"[1125, 1126, 1129, 1134, 1138, 1144, 1147, 1149, 1155, 1156, 1163, 1173, 1174, 1186, 1193, 1265, 1266, 1269, 1325, 1339, 1341, 1347, 1359, 1361, 1364, 1365, 1399, 1443, 1446, 1475, 1504, 1508, 1529, 1543, 1551, 1621, 1634, 1671, 2074, 2237, 2473]",Clinical,PhD
"[1131, 1153, 1310, 1590, 1620, 1624, 2106, 2114, 2459, 2598, 2600, 2633]",Clinical,PsyD
"[1118, 1131, 2106, 2114, 2459, 2514, 2553, 2574, 2598, 2600, 2627, 2633]",Clinical,PsyD
"[1180, 1495, 1678]",Clinical,PsyD
"[1329, 1552]",Clinical,PhD
"[1119, 1476]",Clinical,PsyD
"[1188, 1476]",Clinical,PsyD
"[2334, 2525]",Clinical,PsyD
"[1173, 2525]",Clinical,PsyD
"[1551, 2519]",Clinical,PhD
"[1332, 1539]",Clinical,PhD
"[1329, 1551]",Clinical,PhD
"[1116, 1138, 1973]",Clinical,PsyD
"[1153, 1973]",Clinical,PsyD
"[1180, 1457, 2095]",Clinical,PsyD
"[2176, 2508]",Clinical,PhD
"[1126, 1135, 1152]",Clinical,PsyD
"[1294, 1650]",Counseling,PhD
"[1129, 1186]",Counseling,PhD
"[1265, 1266]",Clinical,PhD
"[1264, 1266]",Clinical,PhD
"[1134, 1967]",Clinical,PsyD
"[1299, 2282]",Counseling,PhD
"[1176, 1586, 2440]",Counseling,PhD
"[1444, 2508]",Clinical,PsyD
"[1171, 1187]",Clinical,PhD
"[1165, 2535]",Clinical,PhD
"[1593, 1594, 1595, 1598, 2487]",Clinical,PsyD
"[1183, 1230, 1331, 1334, 1440, 1446, 1474, 1536, 1551]",Clinical,PhD
"[1383, 1414]",Clinical,PhD
"[1104, 1292, 1313, 1324, 1339, 1370, 1385, 1407, 1412, 1415, 1722, 1764, 1832, 1846, 1961, 1992, 2304, 2544]",Clinical,PsyD
"[1187, 1330, 1349]",Clinical,PsyD
"[1147, 1536]",Counseling,PhD
"[1198, 1226, 1967, 2499]",Clinical,PsyD
"[1967, 2151]",Clinical,PsyD
"[1129, 1147, 2465]",Clinical,PsyD
"[1113, 1119, 1311]",Clinical,PsyD
"[1142, 1311, 1624]",Clinical,PsyD
"[1205, 1466]",Clinical,PhD
"[1205, 2454]",Clinical,PhD
"[1134, 1329]",Clinical,PsyD
"[2435, 2481]",Clinical,PsyD
"[1187, 1551]",Clinical,PhD
"[1125, 1197]",Counseling,PhD
"[1125, 1126]",Clinical,PsyD
"[1126, 1134]",Clinical,PsyD
"[1173, 1627]",Clinical,PhD
"[1173, 1176, 1383, 1627, 1635, 1764]",Clinical,PhD
"[2203, 2285]",School,PsyD
"[1327, 1329, 1471]",Clinical,PhD
"[1327, 1471]",Clinical,PhD
"[1327, 1329]",Clinical,PhD
"[1327, 1440]",Clinical,PhD
"[1180, 1327]",Clinical,PhD
"[1247, 1542]",Counseling,PhD
"[1267, 1350]",Counseling,PhD
"[1267, 1350]",Counseling,PhD
"[1519, 1540]",Counseling,PhD
"[1509, 2410]",Clinical,PsyD
"[1476, 1538]",Clinical,PhD
"[1409, 1443, 1476, 1538, 2013]",Clinical,PhD
"[1184, 1538]",Clinical,PhD
"[1137, 1146]",Clinical,PhD
"[1327, 1329]",Clinical,PhD
"[1134, 1173, 1183, 1329]",Clinical,PsyD
"[1125, 1173, 1329, 1413, 2063, 2151, 2413]",Clinical,PhD
"[1106, 1109]",Counseling,PhD
"[1306, 1509]",Clinical,PsyD
"[1205, 1306]",Counseling,PhD
"[1359, 1383]",Clinical,PhD
"[1183, 1191, 1369, 1412, 1582]",Clinical,PhD
"[1183, 1191, 1369]",Clinical,PhD
"[1191, 1369, 1582]",Clinical,PhD
"[1306, 1538, 2110]",Clinical,PhD
"[1306, 1538, 1540, 2110]",Clinical,PhD
"[1171, 1187]",Clinical,PsyD
"[1628, 2306]",Clinical,PhD
"[1268, 1347]",Clinical,PhD
"[1268, 1323, 1347]",Clinical,PhD
"[1306, 1509]",Clinical,PsyD
"[1166, 2519]",Clinical,PsyD
"[1137, 1146, 1165]",Clinical,PhD
"[1125, 1619, 1621, 1623]",Clinical,PhD
"[1134, 1165, 2052]",Clinical,PsyD
"[1134, 1619]",Clinical,PhD
"[1134, 1146, 1165, 1344, 2052, 2463]",Clinical,PsyD
"[1134, 2052]",Clinical,PsyD
"[1230, 1331, 1540]",Clinical,PhD
"[1331, 1678]",Clinical,PhD
"[1325, 1327]",Clinical,PhD
"[1332, 2279]",Clinical,PhD
"[1125, 1134, 1257, 1265, 1266, 1306, 1413]",Clinical,PhD
"[1327, 1336]",Clinical,PhD
"[1327, 1471]",Clinical,PhD
"[1230, 1331, 1540]",Clinical,PhD
"[1327, 1593]",Clinical,PhD
"[1165, 1328]",Clinical,PsyD
"[1311, 1313]",Clinical,PsyD
"[1180, 1457, 1495]",Clinical,PsyD
"[1455, 1543]",Counseling,PhD
"[1311, 1313, 1764, 2034, 2090, 2259]",Clinical,PsyD
"[1197, 1509, 1538, 1659]",School,PhD
"[1176, 2440]",Clinical,PhD
"[1173, 1175, 2180]",Clinical,PhD
"[1335, 1440, 1463, 1490, 1491, 1663]",Counseling,PsyD
"[1184, 2110]",School,PhD
"[1184, 1572, 1708, 2110]",School,PhD
"[1134, 1205, 1230, 1264, 1294, 1328, 1390, 1538, 1540, 1552, 1560, 1639, 1650, 2369, 2512, 2605, 2624]",Clinical,PhD
"[1137, 1155, 1184, 1187]",Clinical,PhD
"[1458, 1480]",Clinical,PsyD
"[1251, 1432]",School,PhD
"[1266, 2413]",Counseling,PhD
"[1205, 1266, 1413, 1536, 2413]",Counseling,PhD
"[1109, 1176, 1586, 1592, 1682]",Clinical,PsyD
"[1109, 1671, 2052]",Clinical,PsyD
"[1108, 1109, 1110, 1112, 1671, 2052]",Clinical,PsyD
"[1107, 1108, 1671, 2052, 2594]",Clinical,PsyD
"[1184, 1509]",Clinical,PhD
"[1176, 1245, 1247, 1382, 1412, 1649, 1682, 1752, 2116, 2312]",Clinical,PhD
"[1316, 1403]",Clinical,PhD
"[1525, 1619]",Clinical,PhD
"[1359, 1552, 1846]",Clinical,PhD
"[1230, 2181]",Clinical,PhD
"[1165, 1525]",Clinical,PhD
"[1322, 1336]",School,PhD
"[1171, 1330]",Clinical,PhD
"[1171, 1330]",Clinical,PhD
"[1187, 1257, 1330, 1538]",Clinical,PhD
"[1137, 1146, 1162, 1165, 1171]",Clinical,PsyD
"[1614, 1954]",Counseling,PsyD
"[1113, 1354]",Clinical,PhD
"[1326, 1329, 1334, 1337]",Clinical,PsyD
"[1242, 1253, 1254]",Clinical,PhD
"[2164, 2471]",Clinical,PsyD
"[1173, 1308]",Clinical,PhD
"[1383, 1439]",Clinical,PhD
"[1621, 1624]",Clinical,PsyD
"[1187, 1619]",Clinical,PhD
"[1464, 1472]",Clinical,PsyD
"[1316, 1388, 2294, 2297]",Clinical,PsyD
"[1205, 1230, 1344, 1364, 1380, 1443, 1475, 1476, 1509, 1540]",Clinical,PsyD
"[1111, 1173, 1175, 1176, 1183, 1184, 1326, 1329, 1330, 1331, 1334]",Clinical,PsyD
"[1414, 1756]",Counseling,PhD
"[1174, 1414, 1756]",Counseling,PhD
"[1327, 1471]",Clinical,PhD
"[1329, 1471]",Clinical,PhD
"[1327, 1471]",Counseling,PhD
"[1500, 1501, 2177, 2533, 2559]",Counseling,PhD
"[2177, 2559]",Counseling,PhD
"[1257, 1381]",Clinical,PhD
"[1380, 1381]",Clinical,PhD
"[1187, 1381]",Clinical,PhD
"[1257, 1381, 1902]",Clinical,PhD
"[1569, 2152]",Clinical,PsyD
"[1440, 1453]",Clinical,PhD
"[1440, 1453]",Clinical,PhD
"[1495, 1496]",Clinical,PhD
"[1149, 2456]",Clinical,PhD
"[1149, 2456]",Clinical,PhD
"[2034, 2539]",Clinical,PhD
"[1137, 1146]",Clinical,PhD
"[1225, 1551, 1588, 2110]",Clinical,PhD
"[1310, 1627]",Counseling,PhD
"[1310, 1627]",Counseling,PhD
"[1230, 1329]",Clinical,PhD
"[1509, 1619]",Clinical,PsyD
"[1183, 1347]",Clinical,PsyD
"[1325, 1329, 1443, 1551]",Clinical,PhD
"[1134, 1143, 1184, 1283, 2463]",Clinical,PsyD
"[1830, 1860]",School,PhD
"[1153, 1551]",Counseling,PhD
"[1153, 1551]",Counseling,PhD
"[1153, 1551]",Counseling,PhD
"[1153, 1551]",Counseling,PhD
"[1153, 1551]",Counseling,PhD
"[1425, 1430, 1494, 2330, 2569]",School,PsyD
"[1430, 1494, 2330, 2569]",Clinical,PsyD
"[1153, 1551]",Counseling,PhD
"[1197, 2404]",Counseling,PhD
"[1116, 1119, 1143, 1146, 1148, 1162, 1171]",Clinical,PsyD
"[1264, 1551]",Clinical,PsyD
"[1311, 1692, 1722, 1992, 2090, 2347, 2544]",Clinical,PsyD
"[1354, 2149]",Clinical,PhD
"[1548, 1693, 2479, 2492, 2597]",School,PhD
"[1137, 2110]",Clinical,PhD
"[1257, 2406]",School,PhD
"[1416, 2638]",School,PhD
"[1197, 1416]",School,PhD
"[1197, 1416, 1771, 2556]",School,PhD
"[1197, 1416, 1436]",School,PhD
"[1265, 1266, 1268, 1323, 1325, 1329, 1409, 1414, 1551, 1619, 2519]",Clinical,PhD
"[1265, 1266]",Clinical,PhD
"[1213, 1306, 1619]",Clinical,PhD
"[1134, 1165]",Clinical,PhD
"[1156, 2095]",Clinical,PsyD
"[1650, 2447]",Clinical,PhD
"[1294, 1650]",Counseling,PhD
"[1187, 1323, 1443, 1947]",Clinical,PhD
"[1184, 1187, 1323, 1443, 1551, 1947]",Clinical,PhD
"[1327, 1471]",Counseling,PhD
"[1807, 1837]",Clinical,PhD
"[1180, 1577]",Clinical,PsyD
"[1557, 2462]",Clinical,PsyD
"[1597, 1619]",School,PhD
"[1482, 1488]",School,PhD
"[1306, 1442, 1460, 1708, 1746, 2285, 2463, 2471, 2472, 2493]",School,PhD
"[1171, 1184, 1257, 1503, 1525, 1628, 1639, 2413]",Clinical,PhD
"[1503, 1509]",Clinical,PhD
"[1509, 1619]",Clinical,PhD
"[1187, 1344, 1353]",Clinical,PhD
"[1187, 1344, 1353]",Clinical,PhD
"[1187, 1344, 1353]",Clinical,PhD
"[1187, 1344, 1353]",Clinical,PhD
"[1187, 1344, 1380]",Clinical,PhD
"[1184, 1197]",Clinical,PhD
"[1727, 2134]",School,PhD
"[1184, 1538, 2013]",Clinical,PhD
"[1183, 1184, 1187, 1197, 1230, 1323, 1329, 1330, 1409, 1413, 1443, 1465, 1466, 1471, 1476, 1509, 1536, 1538]",Clinical,PhD
"[2463, 2581]",School,PhD
"[1264, 1443, 1948, 2519]",Clinical,PsyD
"[1111, 1117, 1118]",Clinical,PhD
"[1329, 1536]",Clinical,PhD
"[1465, 1475]",Counseling,PhD
"[1526, 1692, 1967]",Clinical,PhD
"[1747, 1908]",Clinical,PsyD
"[1645, 1939]",School,PsyD
"[1815, 1816]",Clinical,PhD
"[1134, 1148, 1162]",Clinical,PsyD
"[1141, 1147, 1152, 1156, 1186, 1268, 1322, 1325, 1334, 1383, 1527, 1583, 2465]",Counseling,PhD
"[1423, 2508]",Clinical,PhD
"[1440, 1444]",Clinical,PhD
"[1171, 1173]",Counseling,PhD
"[1173, 1596]",Counseling,PhD
"[1183, 1283, 1323, 1353, 1424, 1430, 1432, 1443, 1479, 1529, 1540]",Clinical,PsyD
"[1187, 1443, 1476, 2013]",Clinical,PhD
"[1147, 1183, 2519]",Clinical,PhD
"[2117, 2308]",Clinical,PsyD
"[1994, 2125]",Clinical,PsyD
"[1310, 1325, 1369]",Counseling,PhD
"[1440, 1496, 1552, 1663, 1741, 2532]",Counseling,PhD
"[1440, 1552, 1663, 2532]",Counseling,PhD
"[1440, 1539, 1663, 2532]",Counseling,PhD
"[1134, 1503]",Clinical,PhD
"[1509, 2285]",School,PhD
"[1134, 1175, 1219, 1230, 1264, 1266]",Clinical,PhD
"[1146, 1165, 1184, 1344, 1509, 1538, 1982, 2110]",School,PhD
"[1149, 1283, 1443, 1476, 2000]",Clinical,PsyD
"[1137, 1257, 1344, 1538, 2479]",School,PhD
"[1323, 1420]",Clinical,PhD
"[1257, 2297]",School,PhD
"[1109, 1177]",Counseling,PhD
"[1118, 1131, 2627]",Clinical,PsyD
"[1628, 2074]",Clinical,PhD
"[2074, 2221]",Clinical,PhD
"[1311, 1312]",Clinical,PsyD
"[1199, 1201]",Clinical,PsyD
"[2255, 2558]",School,PsyD
"[1330, 1381]",Clinical,PhD
"[1381, 1552]",Clinical,PhD
"[1320, 1326]",Counseling,PhD
"[1119, 1123, 1125]",Counseling,PhD
"[1504, 2166]",Clinical,PsyD
"[1423, 1432]",Clinical,PhD
"[1416, 1509, 1548, 1947]",Clinical,PsyD
"[1184, 1187, 1344, 2463]",Clinical,PhD
"[1329, 1420, 2474]",Clinical,PhD
"[1111, 1543, 2221, 2266]",Clinical,PhD
"[1329, 1334]",Counseling,PhD
"[1539, 2116, 2260, 2462]",Counseling,PhD
"[1184, 1538]",School,PhD
"[1411, 1430]",Clinical,PsyD
"[1329, 2519]",Clinical,PsyD
"[1175, 1551, 2301]",Clinical,PhD
"[1175, 1176, 1380]",Clinical,PhD
"[1184, 1257]",Clinical,PhD
"[2410, 2463]",Clinical,PhD
"[1173, 2410]",Clinical,PhD
"[1852, 1882]",Clinical,PhD
"[1863, 1877]",Clinical,PhD
"[1267, 1350]",Counseling,PhD
"[1129, 1156, 1198, 1244]",Counseling,PhD
"[1139, 1147]",Counseling,PsyD
"[1477, 1663]",Counseling,PhD
"[1847, 1865, 1801]",School,PhD
"[1847, 1865, 1801]",School,PhD
"[1847, 1865, 1801]",School,PhD
"[1847, 1865, 1801]",School,PhD
"[1847, 1865, 1801]",School,PhD
"[1176, 1177]",Clinical,PsyD
"[1147, 1163]",Counseling,PhD
"[1183, 1619]",Clinical,PhD
"[1536, 2463]",Clinical,PhD
"[1536, 1727]",Clinical,PhD
"[1536, 1727]",Clinical,PhD
"[1536, 1727]",Clinical,PhD
"[1409, 1727]",Clinical,PhD
"[1267, 1350]",Counseling,PhD
"[1136, 1350]",Counseling,PhD
"[1151, 1173]",Clinical,PhD
"[1423, 1799]",Clinical,PhD
"[1268, 1230]",Clinical,PsyD
"[1125, 1359, 1388, 1551]",Clinical,PhD
"[1147, 1156, 1186]",Clinical,PhD
"[1173, 1329]",Clinical,PhD
"[1138, 1147, 1156]",Clinical,PsyD
"[1162, 1164]",Clinical,PsyD
"[1450, 2391]",Clinical,PsyD
"[1450, 2391]",Clinical,PsyD
"[1147, 1527]",Clinical,PhD
"[1329, 2324]",Clinical,PhD
"[1329, 2324]",Clinical,PhD
"[1323, 1329, 2324]",Clinical,PhD
"[1323, 1329, 2324]",Clinical,PhD
"[1446, 1480]",Clinical,PhD
"[2380, 2553]",Clinical,PhD
"[2380, 2553]",Clinical,PhD
"[1183, 1329]",Clinical,PhD
"[1451, 1443]",Clinical,PhD
"[1191, 1491, 2279]",Counseling,PhD
"[1191, 1491, 1910, 2279]",Counseling,PhD
"[1191, 1491, 1910, 2279]",Counseling,PhD
"[1184, 1538, 2022]",Clinical,PsyD
"[1173, 1176]",Clinical,PsyD
"[1184, 2022]",Clinical,PsyD
"[1329, 1459]",Clinical,PhD
"[2514, 2598]",Clinical,PhD
"[2598, 2633]",Clinical,PhD
"[2114, 2598]",Clinical,PhD
"[1125, 1275]",Clinical,PhD
"[1149, 2456]",Clinical,PhD
"[1125, 2074]",Clinical,PhD
"[1117, 2133]",Clinical,PsyD
"[1117, 2133]",Clinical,PsyD
"[1117, 2133]",Clinical,PsyD
"[1771, 2133]",Clinical,PsyD
"[2133, 2196]",Clinical,PsyD
"[2133, 2196]",Clinical,PsyD
"[2133, 2196]",Clinical,PsyD
"[2133, 2196]",Clinical,PsyD
"[1669, 2447]",Clinical,PsyD
"[1125, 1325]",Clinical,PhD
"[1125, 1147, 1325, 1359, 1383, 1414, 1437, 1508, 1551]",Clinical,PhD
"[1125, 1147]",Clinical,PhD
"[1226, 2037]",Clinical,PsyD
"[1218, 1226, 2037]",Clinical,PsyD
"[1198, 2170]",Clinical,PsyD
"[1967, 2151]",Clinical,PsyD
"[1294, 1364, 2413]",Clinical,PsyD
"[2114, 2519, 2598]",Clinical,PhD
"[2114, 2519, 2598]",Clinical,PhD
"[2519, 2598]",Clinical,PhD
"[1176, 1992]",Counseling,PhD
"[1176, 2117]",Counseling,PhD
"[1276, 2095, 1443]",Clinical,PsyD
"[1173, 1329]",Clinical,PsyD
"[1504, 1265]",Clinical,PhD
"[1217, 1219]",Clinical,PsyD
"[1137, 1162, 1165, 1323, 1329, 1465, 1476, 1502]",Clinical,PhD
"[1323, 1329]",Clinical,PhD
"[1129, 1138]",Clinical,PhD
"[1116, 1678, 2095]",Clinical,PsyD
"[1116, 1678, 2095]",Clinical,PsyD
"[1678, 2095]",Clinical,PsyD
"[1678, 2095]",Clinical,PsyD
"[1678, 2095]",Clinical,PsyD
"[1137, 1165]",Clinical,PhD
"[1323, 1465]",Clinical,PhD
"[1329, 1502]",Counseling,PhD
"[1465, 2013]",Clinical,PhD
"[1274, 1331, 1337, 1620]",Counseling,PhD
"[1147, 1325, 1335]",Counseling,PhD
"[1323, 1171, 1538]",School,PhD
"[1323, 1329, 1171, 1538]",School,PhD
"[1323, 1329, 1171, 1538]",School,PhD
"[1183, 1323, 1334, 1465]",Clinical,PhD
"[1211, 1908]",Clinical,PhD
"[2255, 1187]",School,PhD
"[2255, 1187]",School,PhD
"[2255, 1187]",School,PhD
"[2255, 1187]",School,PhD
"[2255, 1187]",School,PhD
"[1360, 2196]",Clinical,PsyD
"[1267, 1360]",Clinical,PsyD
"[1267, 1360]",Clinical,PsyD
"[1267, 1360]",Clinical,PsyD
"[1171, 1187, 1538]",Clinical,PhD
"[1171, 1187, 1538]",Clinical,PhD
"[1171, 1187, 1538]",Clinical,PhD
"[1129, 1973]",Clinical,PsyD
"[1153, 1973]",Clinical,PsyD
"[1807, 1823]",Counseling,PhD
"[1147, 1161]",Clinical,PhD
"[1465, 1476]",Counseling,PhD
"[1347, 1153, 1329, 1476]",Clinical,PsyD
"[1153, 1173, 1328, 1329, 1334]",Clinical,PsyD
"[1183, 1188, 1263]",Clinical,PhD
"[1183, 1188]",Clinical,PhD
"[1771, 2000]",Clinical,PsyD
"[1476, 1624]",Clinical,PsyD
"[1125, 1138, 1139, 1147, 1156, 1325, 1335, 1357, 1453, 1455, 1551]",School,PhD
"[1334, 1330]",Clinical,PhD
"[1329, 2479]",Clinical,PhD
"[1137, 1596, 1796]",Clinical,PhD
"[1125, 1129]",Clinical,PhD
"[1125, 1129]",Clinical,PhD
"[1289, 1350]",Counseling,PhD
"[1289, 1350]",Counseling,PhD
"[1289, 1350]",Counseling,PhD
"[1289, 1350, 2057]",Counseling,PhD
"[1107, 1109]",Counseling,PhD
"[1350, 2057]",Counseling,PhD
"[1125, 1156, 1163, 1235, 1280, 1446, 1623, 2465, 1153, 1183, 1283, 1323, 1370, 1464, 1771]",Clinical,PsyD
"[1283, 1771]",Clinical,PsyD
"[1323, 1771]",Clinical,PsyD
"[1149, 1341]",Clinical,PhD
"[1109, 1110]",Clinical,PsyD
"[1144, 1311, 1398, 2500]",Clinical,PsyD
"[1393, 2000]",Clinical,PsyD
"[1444, 1465]",Clinical,PhD
"[1235, 2624]",Clinical,PhD
"[1108, 1624]",Counseling,PhD
"[1230, 1459]",Clinical,PhD
"[1399, 2206, 2221, 2340]",Clinical,PsyD
"[1329, 1476]",Clinical,PhD
"[1113, 1119, 2454]",Clinical,PhD
"[1267, 1337, 1673, 1780]",Counseling,PhD
"[1420, 1536]",Clinical,PhD
"[1420, 1536]",Clinical,PhD
"[1624, 2322]",Clinical,PsyD
"[1624, 2322]",Clinical,PsyD
"[1624, 2322]",Clinical,PsyD
"[1137, 1197]",Clinical,PhD
"[1165, 1146]",Clinical,PhD
"[1135, 1590, 1907]",Clinical,PsyD
"[1590, 1907, 2116]",Clinical,PsyD
"[1590, 1907]",Clinical,PsyD
"[1495, 1588, 2371]",Clinical,PhD
"[1490, 1495, 1588, 2371]",Clinical,PhD
"[1495, 1588]",Clinical,PhD
"[1490, 1495, 1588, 2371]",Clinical,PhD
"[1495, 1588]",Clinical,PhD
"[1180, 1490, 1495]",Clinical,PhD
"[1135, 1590]",Clinical,PsyD
"[1135, 1590]",Clinical,PsyD
"[1135, 1590, 1907]",Clinical,PsyD
"[1472, 1476]",Clinical,PhD
"[1586, 2440]",Clinical,PsyD
"[1586, 2440]",Clinical,PsyD
"[1586, 2440]",Clinical,PsyD
"[1586, 2440]",Clinical,PsyD
"[1586, 2440]",Clinical,PsyD
"[1230, 1324, 1663, 2181, 2371]",Clinical,PhD
"[1324, 2181]",Clinical,PhD
"[1268, 1323, 1155, 1619]",Clinical,PhD
"[1268, 1325, 1323, 2519, 1266, 1619]",Clinical,PhD
"[1173, 1176, 1459, 1540, 1594, 1682, 2297, 2535, 2561, 2586]",Clinical,PhD
"[1173, 1176, 1594, 2535]",Clinical,PhD
"[1780, 2203]",School,PsyD
"[1780, 2203]",School,PsyD
"[1780, 2203]",School,PsyD
"[1414, 2221]",Clinical,PsyD
"[1230, 1588]",Clinical,PsyD
"[1205, 1308, 1796, 1986, 2294, 2297, 2369, 2447, 2531, 2624]",Clinical,PsyD
"[1197, 1205, 1308, 1328, 1796, 1954, 2294, 2624]",Clinical,PsyD
"[1205, 1308, 1796]",Clinical,PsyD
"[1197, 1328, 1796, 1601, 2052, 2110]",Clinical,PsyD
"[1907, 2260]",Counseling,PhD
"[2334, 1216]",Clinical,PsyD
"[1406, 2146, 2517]",Counseling,PhD
"[1406, 2146, 2517]",Counseling,PhD
"[1406, 2146, 2517]",Counseling,PhD
"[1123, 1135, 1136]",Counseling,PhD
"[1406, 2146, 2517]",Counseling,PhD
"[1406, 2146, 2517]",Counseling,PhD
"[1406, 2146]",Counseling,PhD
"[1206, 1406, 1649, 2063, 2146, 2451, 2462, 2517, 2610]",Counseling,PhD
"[1183, 1492]",Clinical,PhD
"[1197, 2266, 2391, 1538]",Clinical,PsyD
"[2285, 2391, 1538]",Clinical,PsyD
"[1414, 2623]",Clinical,PhD
"[2514, 2574]",Clinical,PsyD
"[2514, 2574]",Clinical,PsyD
"[2514, 2574]",Clinical,PsyD
"[2514, 2574]",Clinical,PsyD
"[1264, 1266]",Clinical,PhD
"[1588, 2125]",Clinical,PhD
"[1588, 2125]",Clinical,PhD
"[1112, 1125, 1129, 1138, 1139, 1163]",Clinical,PsyD
"[1129, 1163]",Clinical,PsyD
"[2019, 2600, 1660, 2106]",Clinical,PsyD
"[1129, 1138, 1141]",Clinical,PsyD
"[1205, 1230]",Clinical,PhD
"[1360, 1557]",Clinical,PhD
"[1414, 2623]",Clinical,PhD
"[1459, 1476]",Clinical,PhD
"[1137, 1165]",Clinical,PhD
