APPIC Number,Site / Department,URL,Location,Application Due Date,Program,Last Updated
1624,Western State Hospital/Washington State Office of Forensic Mental He,https://membership.appic.org/directory/display/673,"Tacoma, WA, USA",11/01/2025 11:59 PM EST,Internship,07/29/2025
1310,Western State Hospital Internship Program/Western State Hospital,https://membership.appic.org/directory/display/137,"Hopkinsville, KY, USA",11/21/2025 11:59 PM EST,Internship,06/19/2025
2117,Western Washington University /Counseling Center ,https://membership.appic.org/directory/display/675,"Bellingham, WA, USA",11/21/2025 11:59 PM EST,Internship,09/22/2025
1997,Western Youth Services/Training Department,https://membership.appic.org/directory/display/436,"Laguna Hills, CA, USA",11/01/2025 11:59 PM EST,Internship,02/03/2026
2597,White Birch Educational Services/School Psychology ,https://membership.appic.org/directory/display/3052,"Exeter, NH, USA",12/01/2025 11:59 PM EST,Internship,09/10/2025
1741,White River Junction (Vermont) Veterans Affairs Medical Center/Mental Health and Behavioral Sciences,https://membership.appic.org/directory/display/149,"White River Junction, VT, USA",11/03/2025 11:59 PM EST,Internship,11/06/2025
1308,Wichita Collaborative Psychology Internship Program/Consortium,https://membership.appic.org/directory/display/64,"Wichita, KS, USA",11/24/2025 11:59 PM EST,Internship,11/24/2025
1589,Wilford Hall Ambulatory Surgical Center/Department of Behavioral Medicine,https://membership.appic.org/directory/display/402,"JBSA Lackland, TX, USA",12/01/2025 11:59 PM EST,Internship,01/08/2026
1904,Will County Health Department/Behavioral Health Programs,https://membership.appic.org/directory/display/851,"Joliet, IL, USA",12/01/2025 11:59 PM EST,Internship,12/03/2025
2303,Wilmington VAMC/Wilmington VAMC Behavioral Health Services,https://membership.appic.org/directory/display/1397,"Wilmington, DE, USA",11/14/2025 11:59 PM EST,Internship,07/15/2025
1635,Wisconsin Department of Corrections/Doctoral Internship in Health Service Psychology,https://membership.appic.org/directory/display/555,"Madison, WI, USA",11/14/2025 11:59 PM EST,Internship,11/17/2025
2642,Wisdom Institute /Psychology,https://membership.appic.org/directory/display/3298,"Sacramento, CA, USA",11/03/2025 11:59 PM EST,Internship,07/27/2025
2387,Womack Army Medical Center/Dept. of Behavioral Health,https://membership.appic.org/directory/display/1828,"Fort Bragg, NC, USA",11/10/2025 11:59 PM EST,Internship,12/02/2025
1746,Woodhull Medical Center/Psychological Services- Room 5A-12,https://membership.appic.org/directory/display/244,"Brooklyn, NY, USA",11/28/2025 11:59 PM EST,Internship,06/23/2025
1514,Wright-Patterson USAF Medical Center/Mental Health Flight (SGXW),https://membership.appic.org/directory/display/175,"Wright-Patterson AFB, OH, USA",12/01/2025 11:59 PM EST,Internship,09/23/2025
2321,WVU Medicine Behavioral Medicine & Psychiatry - Martinsburg/Behavioral Medicine and Psychiatry,https://membership.appic.org/directory/display/1748,"Martinsburg, WV, USA",11/01/2025 11:59 PM EST,Internship,10/07/2025
1184,Yale University/Child Study Center,https://membership.appic.org/directory/display/503,"New Haven, CT, USA",11/01/2025 11:59 PM EST,Internship,06/06/2025
1183,"Yale University School of Medicine/Psychology Section, Department of Psychiatry",https://membership.appic.org/directory/display/639,"New Haven, CT, USA",11/01/2025 11:59 PM EST,Internship,07/28/2025
1251,Youth Consultation Service/YCS Institute,https://membership.appic.org/directory/display/195,"East Orange, NJ, USA",11/17/2025 11:59 PM EST,Internship,09/24/2025
1298,Youth Opportunity Center/Psychological Services Center,https://membership.appic.org/directory/display/433,"Muncie, IN, USA",11/15/2025 11:59 PM EST,Internship,11/06/2025
1428,"Youth Services Department, Palm Beach County/n/a",https://membership.appic.org/directory/display/309,"West Palm Beach, FL, USA",11/09/2025 11:59 PM EST,Internship,07/16/2025
